Hyperparameters
"('som', [20, 20, 10.0, 0.5, 5000])","('knn', [1])","('dt', [12])","('rf', [30, 10])","('xg', [50, 10, 0.1])","('svm', [20])"
Features
"[1011.635291, 1212.8352909999999]","[1696.535291, 1743.635291]","[2586.8352910000003, 2839.4352910000002]"
Train
Dosage,2839.667238,2839.185121,2838.703004,2838.220888,2837.738771,2837.256654,2836.774538,2836.292421,2835.810304,2835.328188,2834.846071,2834.363954,2833.881838,2833.399721,2832.917604,2832.435488,2831.953371,2831.471254,2830.989138,2830.507021,2830.024904,2829.542788,2829.060671,2828.578554,2828.096438,2827.614321,2827.132204,2826.650088,2826.167971,2825.685854,2825.203738,2824.721621,2824.239504,2823.757388,2823.275271,2822.793154,2822.311038,2821.828921,2821.346804,2820.864688,2820.382571,2819.900454,2819.418338,2818.936221,2818.454104,2817.971987,2817.489871,2817.007754,2816.525637,2816.043521,2815.561404,2815.079287,2814.597171,2814.115054,2813.632937,2813.150821,2812.668704,2812.186587,2811.704471,2811.222354,2810.740237,2810.258121,2809.776004,2809.293887,2808.811771,2808.329654,2807.847537,2807.365421,2806.883304,2806.401187,2805.919071,2805.436954,2804.954837,2804.472721,2803.990604,2803.508487,2803.026371,2802.544254,2802.062137,2801.580021,2801.097904,2800.615787,2800.133671,2799.651554,2799.169437,2798.687321,2798.205204,2797.723087,2797.240971,2796.758854,2796.276737,2795.794621,2795.312504,2794.830387,2794.348271,2793.866154,2793.384037,2792.90192,2792.419804,2791.937687,2791.45557,2790.973454,2790.491337,2790.00922,2789.527104,2789.044987,2788.56287,2788.080754,2787.598637,2787.11652,2786.634404,2786.152287,2785.67017,2785.188054,2784.705937,2784.22382,2783.741704,2783.259587,2782.77747,2782.295354,2781.813237,2781.33112,2780.849004,2780.366887,2779.88477,2779.402654,2778.920537,2778.43842,2777.956304,2777.474187,2776.99207,2776.509954,2776.027837,2775.54572,2775.063604,2774.581487,2774.09937,2773.617254,2773.135137,2772.65302,2772.170904,2771.688787,2771.20667,2770.724554,2770.242437,2769.76032,2769.278203,2768.796087,2768.31397,2767.831853,2767.349737,2766.86762,2766.385503,2765.903387,2765.42127,2764.939153,2764.457037,2763.97492,2763.492803,2763.010687,2762.52857,2762.046453,2761.564337,2761.08222,2760.600103,2760.117987,2759.63587,2759.153753,2758.671637,2758.18952,2757.707403,2757.225287,2756.74317,2756.261053,2755.778937,2755.29682,2754.814703,2754.332587,2753.85047,2753.368353,2752.886237,2752.40412,2751.922003,2751.439887,2750.95777,2750.475653,2749.993537,2749.51142,2749.029303,2748.547187,2748.06507,2747.582953,2747.100837,2746.61872,2746.136603,2745.654487,2745.17237,2744.690253,2744.208136,2743.72602,2743.243903,2742.761786,2742.27967,2741.797553,2741.315436,2740.83332,2740.351203,2739.869086,2739.38697,2738.904853,2738.422736,2737.94062,2737.458503,2736.976386,2736.49427,2736.012153,2735.530036,2735.04792,2734.565803,2734.083686,2733.60157,2733.119453,2732.637336,2732.15522,2731.673103,2731.190986,2730.70887,2730.226753,2729.744636,2729.26252,2728.780403,2728.298286,2727.81617,2727.334053,2726.851936,2726.36982,2725.887703,2725.405586,2724.92347,2724.441353,2723.959236,2723.47712,2722.995003,2722.512886,2722.03077,2721.548653,2721.066536,2720.584419,2720.102303,2719.620186,2719.138069,2718.655953,2718.173836,2717.691719,2717.209603,2716.727486,2716.245369,2715.763253,2715.281136,2714.799019,2714.316903,2713.834786,2713.352669,2712.870553,2712.388436,2711.906319,2711.424203,2710.942086,2710.459969,2709.977853,2709.495736,2709.013619,2708.531503,2708.049386,2707.567269,2707.085153,2706.603036,2706.120919,2705.638803,2705.156686,2704.674569,2704.192453,2703.710336,2703.228219,2702.746103,2702.263986,2701.781869,2701.299753,2700.817636,2700.335519,2699.853403,2699.371286,2698.889169,2698.407053,2697.924936,2697.442819,2696.960703,2696.478586,2695.996469,2695.514352,2695.032236,2694.550119,2694.068002,2693.585886,2693.103769,2692.621652,2692.139536,2691.657419,2691.175302,2690.693186,2690.211069,2689.728952,2689.246836,2688.764719,2688.282602,2687.800486,2687.318369,2686.836252,2686.354136,2685.872019,2685.389902,2684.907786,2684.425669,2683.943552,2683.461436,2682.979319,2682.497202,2682.015086,2681.532969,2681.050852,2680.568736,2680.086619,2679.604502,2679.122386,2678.640269,2678.158152,2677.676036,2677.193919,2676.711802,2676.229686,2675.747569,2675.265452,2674.783336,2674.301219,2673.819102,2673.336986,2672.854869,2672.372752,2671.890635,2671.408519,2670.926402,2670.444285,2669.962169,2669.480052,2668.997935,2668.515819,2668.033702,2667.551585,2667.069469,2666.587352,2666.105235,2665.623119,2665.141002,2664.658885,2664.176769,2663.694652,2663.212535,2662.730419,2662.248302,2661.766185,2661.284069,2660.801952,2660.319835,2659.837719,2659.355602,2658.873485,2658.391369,2657.909252,2657.427135,2656.945019,2656.462902,2655.980785,2655.498669,2655.016552,2654.534435,2654.052319,2653.570202,2653.088085,2652.605969,2652.123852,2651.641735,2651.159619,2650.677502,2650.195385,2649.713269,2649.231152,2648.749035,2648.266919,2647.784802,2647.302685,2646.820568,2646.338452,2645.856335,2645.374218,2644.892102,2644.409985,2643.927868,2643.445752,2642.963635,2642.481518,2641.999402,2641.517285,2641.035168,2640.553052,2640.070935,2639.588818,2639.106702,2638.624585,2638.142468,2637.660352,2637.178235,2636.696118,2636.214002,2635.731885,2635.249768,2634.767652,2634.285535,2633.803418,2633.321302,2632.839185,2632.357068,2631.874952,2631.392835,2630.910718,2630.428602,2629.946485,2629.464368,2628.982252,2628.500135,2628.018018,2627.535902,2627.053785,2626.571668,2626.089552,2625.607435,2625.125318,2624.643202,2624.161085,2623.678968,2623.196851,2622.714735,2622.232618,2621.750501,2621.268385,2620.786268,2620.304151,2619.822035,2619.339918,2618.857801,2618.375685,2617.893568,2617.411451,2616.929335,2616.447218,2615.965101,2615.482985,2615.000868,2614.518751,2614.036635,2613.554518,2613.072401,2612.590285,2612.108168,2611.626051,2611.143935,2610.661818,2610.179701,2609.697585,2609.215468,2608.733351,2608.251235,2607.769118,2607.287001,2606.804885,2606.322768,2605.840651,2605.358535,2604.876418,2604.394301,2603.912185,2603.430068,2602.947951,2602.465835,2601.983718,2601.501601,2601.019485,2600.537368,2600.055251,2599.573135,2599.091018,2598.608901,2598.126784,2597.644668,2597.162551,2596.680434,2596.198318,2595.716201,2595.234084,2594.751968,2594.269851,2593.787734,2593.305618,2592.823501,2592.341384,2591.859268,2591.377151,2590.895034,2590.412918,2589.930801,2589.448684,2588.966568,2588.484451,2588.002334,2587.520218,1743.816039,1743.333923,1742.851806,1742.369689,1741.887573,1741.405456,1740.923339,1740.441223,1739.959106,1739.476989,1738.994873,1738.512756,1738.030639,1737.548523,1737.066406,1736.584289,1736.102173,1735.620056,1735.137939,1734.655823,1734.173706,1733.691589,1733.209473,1732.727356,1732.245239,1731.763123,1731.281006,1730.798889,1730.316773,1729.834656,1729.352539,1728.870423,1728.388306,1727.906189,1727.424073,1726.941956,1726.459839,1725.977723,1725.495606,1725.013489,1724.531373,1724.049256,1723.567139,1723.085023,1722.602906,1722.120789,1721.638673,1721.156556,1720.674439,1720.192322,1719.710206,1719.228089,1718.745972,1718.263856,1717.781739,1717.299622,1716.817506,1716.335389,1715.853272,1715.371156,1714.889039,1714.406922,1713.924806,1713.442689,1712.960572,1712.478456,1711.996339,1711.514222,1711.032106,1710.549989,1710.067872,1709.585756,1709.103639,1708.621522,1708.139406,1707.657289,1707.175172,1706.693056,1706.210939,1705.728822,1705.246706,1704.764589,1704.282472,1703.800356,1703.318239,1702.836122,1702.354006,1701.871889,1701.389772,1700.907656,1700.425539,1699.943422,1699.461306,1698.979189,1698.497072,1698.014956,1697.532839,1697.050722,1213.005582,1212.523466,1212.041349,1211.559232,1211.077116,1210.594999,1210.112882,1209.630766,1209.148649,1208.666532,1208.184416,1207.702299,1207.220182,1206.738065,1206.255949,1205.773832,1205.291715,1204.809599,1204.327482,1203.845365,1203.363249,1202.881132,1202.399015,1201.916899,1201.434782,1200.952665,1200.470549,1199.988432,1199.506315,1199.024199,1198.542082,1198.059965,1197.577849,1197.095732,1196.613615,1196.131499,1195.649382,1195.167265,1194.685149,1194.203032,1193.720915,1193.238799,1192.756682,1192.274565,1191.792449,1191.310332,1190.828215,1190.346099,1189.863982,1189.381865,1188.899749,1188.417632,1187.935515,1187.453399,1186.971282,1186.489165,1186.007049,1185.524932,1185.042815,1184.560699,1184.078582,1183.596465,1183.114348,1182.632232,1182.150115,1181.667998,1181.185882,1180.703765,1180.221648,1179.739532,1179.257415,1178.775298,1178.293182,1177.811065,1177.328948,1176.846832,1176.364715,1175.882598,1175.400482,1174.918365,1174.436248,1173.954132,1173.472015,1172.989898,1172.507782,1172.025665,1171.543548,1171.061432,1170.579315,1170.097198,1169.615082,1169.132965,1168.650848,1168.168732,1167.686615,1167.204498,1166.722382,1166.240265,1165.758148,1165.276032,1164.793915,1164.311798,1163.829682,1163.347565,1162.865448,1162.383332,1161.901215,1161.419098,1160.936982,1160.454865,1159.972748,1159.490632,1159.008515,1158.526398,1158.044281,1157.562165,1157.080048,1156.597931,1156.115815,1155.633698,1155.151581,1154.669465,1154.187348,1153.705231,1153.223115,1152.740998,1152.258881,1151.776765,1151.294648,1150.812531,1150.330415,1149.848298,1149.366181,1148.884065,1148.401948,1147.919831,1147.437715,1146.955598,1146.473481,1145.991365,1145.509248,1145.027131,1144.545015,1144.062898,1143.580781,1143.098665,1142.616548,1142.134431,1141.652315,1141.170198,1140.688081,1140.205965,1139.723848,1139.241731,1138.759615,1138.277498,1137.795381,1137.313265,1136.831148,1136.349031,1135.866915,1135.384798,1134.902681,1134.420564,1133.938448,1133.456331,1132.974214,1132.492098,1132.009981,1131.527864,1131.045748,1130.563631,1130.081514,1129.599398,1129.117281,1128.635164,1128.153048,1127.670931,1127.188814,1126.706698,1126.224581,1125.742464,1125.260348,1124.778231,1124.296114,1123.813998,1123.331881,1122.849764,1122.367648,1121.885531,1121.403414,1120.921298,1120.439181,1119.957064,1119.474948,1118.992831,1118.510714,1118.028598,1117.546481,1117.064364,1116.582248,1116.100131,1115.618014,1115.135898,1114.653781,1114.171664,1113.689548,1113.207431,1112.725314,1112.243198,1111.761081,1111.278964,1110.796848,1110.314731,1109.832614,1109.350497,1108.868381,1108.386264,1107.904147,1107.422031,1106.939914,1106.457797,1105.975681,1105.493564,1105.011447,1104.529331,1104.047214,1103.565097,1103.082981,1102.600864,1102.118747,1101.636631,1101.154514,1100.672397,1100.190281,1099.708164,1099.226047,1098.743931,1098.261814,1097.779697,1097.297581,1096.815464,1096.333347,1095.851231,1095.369114,1094.886997,1094.404881,1093.922764,1093.440647,1092.958531,1092.476414,1091.994297,1091.512181,1091.030064,1090.547947,1090.065831,1089.583714,1089.101597,1088.619481,1088.137364,1087.655247,1087.173131,1086.691014,1086.208897,1085.72678,1085.244664,1084.762547,1084.28043,1083.798314,1083.316197,1082.83408,1082.351964,1081.869847,1081.38773,1080.905614,1080.423497,1079.94138,1079.459264,1078.977147,1078.49503,1078.012914,1077.530797,1077.04868,1076.566564,1076.084447,1075.60233,1075.120214,1074.638097,1074.15598,1073.673864,1073.191747,1072.70963,1072.227514,1071.745397,1071.26328,1070.781164,1070.299047,1069.81693,1069.334814,1068.852697,1068.37058,1067.888464,1067.406347,1066.92423,1066.442114,1065.959997,1065.47788,1064.995764,1064.513647,1064.03153,1063.549414,1063.067297,1062.58518,1062.103064,1061.620947,1061.13883,1060.656713,1060.174597,1059.69248,1059.210363,1058.728247,1058.24613,1057.764013,1057.281897,1056.79978,1056.317663,1055.835547,1055.35343,1054.871313,1054.389197,1053.90708,1053.424963,1052.942847,1052.46073,1051.978613,1051.496497,1051.01438,1050.532263,1050.050147,1049.56803,1049.085913,1048.603797,1048.12168,1047.639563,1047.157447,1046.67533,1046.193213,1045.711097,1045.22898,1044.746863,1044.264747,1043.78263,1043.300513,1042.818397,1042.33628,1041.854163,1041.372047,1040.88993,1040.407813,1039.925697,1039.44358,1038.961463,1038.479347,1037.99723,1037.515113,1037.032996,1036.55088,1036.068763,1035.586646,1035.10453,1034.622413,1034.140296,1033.65818,1033.176063,1032.693946,1032.21183,1031.729713,1031.247596,1030.76548,1030.283363,1029.801246,1029.31913,1028.837013,1028.354896,1027.87278,1027.390663,1026.908546,1026.42643,1025.944313,1025.462196,1024.98008,1024.497963,1024.015846,1023.53373,1023.051613,1022.569496,1022.08738,1021.605263,1021.123146,1020.64103,1020.158913,1019.676796,1019.19468,1018.712563,1018.230446,1017.74833,1017.266213,1016.784096,1016.30198,1015.819863,1015.337746,1014.85563,1014.373513,1013.891396,1013.40928,1012.927163,1012.445046,1011.962929
